AAON,NASD,A A O N INC
AIR,NYSE,A A R CORP
ABBBY,NASD,A B B AB
ABCB,NASD,A B C BANCORP
ABCC,NASD,A B C DISPENSING TECH INC
ABCR,NASD,A B C RAIL PRODUCTS CORP
ABM,NYSE,A B M INDUSTRIES INC
AAN,NYSE,A B N AMRO HLDGS N V
ABRX,NASD,A B R INFO SVCS INC
ABTC,NASD,A B T BLDG PRODUCTS CORP
ACIT,NASD,A C I TELECENTRICS INC
ACG,NYSE,A C M GOVT INCM FD INC
AOF,NYSE,A C M GOVT OPPORTUNITY FD
GSF,NYSE,A C M GOVT SECS FD INC
SI,NYSE,A C M GOVT SPECTRUM FD
ADF,NYSE,A C M MANAGED DLR INCM FD
AMF,NYSE,A C M MANAGED INCM FD INC
AMU,NYSE,A C M MUNI SECS INCM FUND
ACMR,NASD,A C MOORE ARTS &amp; CRAFTS
ACRG,NASD,A C R GROUP INC
ACSEF,NASD,A C S ELECTRONICS LTD
ACTM,NASD,A C T MANUFACTURING INC
ANET,NASD,"<a href=""http://www.acti.com/"">A C T NETWORKS INC</a>"
IAT,BOS,A C T V INC
IATV,NASD,A C T V INC
ACX,NYSE,A C X TECHNOLOGIES INC
ADAM,NASD,A D A M SOFTWARE INC
ADCT,NASD,"<a href=""http://www.adc.com/"">A D C TELECOM INC</a>"
ADEX,NASD,A D E CORP MA
ADMT,NASD,A D M TRONICS UNLIMITED
AD,NYSE,A D V O INC
AEPI,NASD,A E P INDUSTRIES INC
AERN,NASD,A E R ENERGY RES INC
AES,NYSE,A E S CORP
AESCW,NASD,A E S CORP
AFCX,NASD,"<a href=""http://www.afcweb.com/"">A F C CABLE SYSTEMS INC</a>"
AFPC,NASD,A F P IMAGING CORP
AFED,NASD,A F S A L A BANCORP INC
AGAI,NASD,A G ASSOCIATES INC
AG,NYSE,"<a href=""http://www.agriculture.com/contents/AGCO/"">A G C O CORP</a>"
AGE,NYSE,A G EDWARDS INC
ATG,NYSE,A G L RESOURCES INC
ASV,NYSE,A G SVC AMERICA INC
AHLS,NASD,A H L SERVICES INC
AJP,NYSE,A J L PEPS TRUST
AKS,NYSE,"<a href=""http://www.aksteel.com/"">A K STEEL HOLDING CORP</a>"
AILP,NASD,A L P N  E T  INC
AMFC,NASD,A M B FINANCIAL CORP
AMBI,NASD,A M B I INC
AEN,AMEX,A M C ENTERTAINMENT INC
DIST,NASD,A M C O N DISTRIBUTING CO
AMEDE,NASD,A M E D I S Y S INC
UHAL,NASD,A M E R C O
PIN,NYSE,A M F BOWLING INC
AMLJ,NASD,A M L COMMUNICATIONS INC
AMXI,NASD,A M N E X INC
AMP,NYSE,"<a href=""http://www.amp.com/"">A M P INC PENNSYLVANIA</a>"
AMR,NYSE,"<a href=""http://www.amrcorp.com/"">A M R CORP</a>"
AMXX,NASD,A M X CORP
ANBC,NASD,A N B CORP
ANSS,NASD,A N S Y S INC
TNT,NYSE,A O TATNEFT
APAC,NASD,A P A C TELESERVICES INC
APAT,NASD,A P A OPTICS INC
ATS,NYSE,A P T SATELLITE HLDGS LTD
ATV,AMEX,A R C INTERNATIONAL CORP
ARIS,NASD,A R I NETWORK SVC INC
ARMHY,NASD,A R M HOLDINGS P L C
SRS,AMEX,A R V ASSISTED LIVING INC
ASAI,NASD,A S A HOLDINGS INC
ASAA,NASD,A S A INTERNATIONAL LTD
ASA,NYSE,A S A LTD
ASBP,NASD,A S B FINANCIAL CORP
ASDG,NASD,A S D GROUP INC
ASU,PSE,A S D GROUP INC
ASTSF,NASD,A S E TEST LTD
ASMIF,NASD,A S M INTERNATIONAL N V
ASMLF,NASD,A S M LITHOGRAPHY HLDG
ASVI,NASD,A S V INC
T,NYSE,"<a href=""http://www.att.com/"">A T &amp; T CORP</a>"
ATEC,NASD,A T E C GROUP INC
ATECW,NASD,A T E C GROUP INC
ATLPA,NASD,A T L PRODUCTS INC
ATLI,NASD,"<a href=""http://www.atl.com/"">A T L ULTRASOUND INC</a>"
ATMI,NASD,A T M I INC
ATJ,AMEX,A T PLASTICS INC
ATRX,NASD,A T R I X LABS INC
ATSI,NASD,A T S MEDICAL INC
AVX,NYSE,A V X CORP
AXA,NYSE,A X A-UAP
ACLNF,NASD,A.C.L.N. Limited
AAM,NYSE,AAMES FINANCIAL CORP
RNT,NYSE,AARON RENTS INC
RNT,NYSE,AARON RENTS INC
ASHE,NASD,AASCHE TRANS SVCS INC
ASHEW,NASD,AASCHE TRANS SVCS INC
ASTM,NASD,AASTROM BIOSCIENCES INC
AATT,NASD,"<a href=""http://www.aavid.com/"">AAVID THERMAL TECH INC</a>"
ABACF,NASD,ABACAN RESOURCE CORP
ABDR,NASD,ABACUS DIRECT CORP
ABIX,NASD,ABATIX ENVIRONMENTAL CORP
