MMM,3M Company,Industrials
ABT,Abbott Labs,Health Care
ANF,Abercrombie &amp; Fitch Co.,Consumer Discretionary
ADBE,,Information Technology
AMD,,Information Technology
AES,AES Corp.,Utilities
AET,Aetna Inc.,Health Care
ACS,Affiliated Computer,Information Technology
AFL,AFLAC Inc.,Financials
A,,Information Technology
APD,,Materials
AKAM,Akamai Technologies Inc,Information Technology
AA,Alcoa Inc,Materials
AYE,,Utilities
ATI,Allegheny Technologies Inc,Materials
AGN,Allergan Inc.,Health Care
AW,,Industrials
ALL,Allstate Corp.,Financials
ALTR,Altera Corp.,Information Technology
MO,Altria Group Inc.,Consumer Staples
AMZN,Amazon Corp.,Consumer Discretionary
AEE,Ameren Corporation,Utilities
ACAS,American Capital Strategies Ltd,Financials
AEP,,Utilities
AXP,,Financials
AIG,American Int'l. Group,Financials
AMT,American Tower Corp.,Telecommunications Services
AMP,Ameriprise Financial Inc.,Financials
ABC,AmerisourceBergen Corp.,Health Care
AMGN,,Health Care
APC,Anadarko Petroleum,Energy
ADI,,Information Technology
BUD,,Consumer Staples
AOC,Aon Corp.,Financials
APA,,Energy
AIV,Apartment Investment &amp; MgmtA,Financials
APOL,,Consumer Discretionary
AAPL,,Information Technology
ABI,Applera Corp-Applied Biosystems Group,Health Care
AMAT,,Information Technology
ADM,Archer-Daniels-Midland,Consumer Staples
ASH,,Materials
AIZ,Assurant Inc,Financials
T,AT&amp;T Inc.,Telecommunications Services
ADSK,Autodesk Inc.,Information Technology
ADP,Automatic Data Processing Inc.,Information Technology
AN,AutoNation Inc.,Consumer Discretionary
AZO,AutoZone Inc.,Consumer Discretionary
AVB,,Financials
AVY,Avery Dennison Corp.,Industrials
AVP,,Consumer Staples
BHI,,Energy
BLL,,Materials
BAC,Bank of America Corp.,Financials
BK,Bank of New York Mellon Corp. (New),Financials
BRL,Barr Pharmaceuticals Inc.,Health Care
BAX,Baxter International Inc.,Health Care
BBT,BB&amp;T Corporation,Financials
BDX,,Health Care
BBBY,,Consumer Discretionary
BMS,,Materials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIG,Big Lots Inc.,Consumer Discretionary
BIIB,BIOGEN IDEC Inc.,Health Care
